GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013
0100000US,,United States,308745538,308747716,309326295,311582564,313873685,316128839
0400000US01,01,Alabama,4779736,4779758,4785570,4801627,4817528,4833722
0400000US02,02,Alaska,710231,710231,713868,723375,730307,735132
0400000US04,04,Arizona,6392017,6392015,6408790,6468796,6551149,6626624
0400000US05,05,Arkansas,2915918,2915916,2922280,2938506,2949828,2959373
0400000US06,06,California,37253956,37253959,37333601,37668681,37999878,38332521
0400000US08,08,Colorado,5029196,5029196,5048196,5118400,5189458,5268367
0400000US09,09,Connecticut,3574097,3574097,3579210,3588948,3591765,3596080
0400000US10,10,Delaware,897934,897936,899711,907985,917053,925749
0400000US11,11,District of Columbia,601723,601767,605125,619624,633427,646449
0400000US12,12,Florida,18801310,18802690,18846054,19083482,19320749,19552860
0400000US13,13,Georgia,9687653,9687663,9713248,9810181,9915646,9992167
0400000US15,15,Hawaii,1360301,1360301,1363731,1376897,1390090,1404054
0400000US16,16,Idaho,1567582,1567652,1570718,1583930,1595590,1612136
0400000US17,17,Illinois,12830632,12830632,12839695,12855970,12868192,12882135
0400000US18,18,Indiana,6483802,6483797,6489965,6516336,6537782,6570902
0400000US19,19,Iowa,3046355,3046857,3050314,3064102,3075039,3090416
0400000US20,20,Kansas,2853118,2853116,2858910,2869548,2885398,2893957
0400000US21,21,Kentucky,4339367,4339357,4347698,4366869,4379730,4395295
0400000US22,22,Louisiana,4533372,4533372,4545392,4575197,4602134,4625470
0400000US23,23,Maine,1328361,1328361,1327366,1327844,1328501,1328302
0400000US24,24,Maryland,5773552,5773623,5787193,5840241,5884868,5928814
0400000US25,25,Massachusetts,6547629,6547629,6563263,6606285,6645303,6692824
0400000US26,26,Michigan,9883640,9883701,9876149,9874589,9882519,9895622
0400000US27,27,Minnesota,5303925,5303925,5310337,5347108,5379646,5420380
0400000US28,28,Mississippi,2967297,2967299,2970047,2977886,2986450,2991207
0400000US29,29,Missouri,5988927,5988923,5996063,6010065,6024522,6044171
0400000US30,30,Montana,989415,989417,990527,997600,1005494,1015165
0400000US31,31,Nebraska,1826341,1826341,1829838,1841749,1855350,1868516
0400000US32,32,Nevada,2700551,2700552,2703230,2717951,2754354,2790136
0400000US33,33,New Hampshire,1316470,1316469,1316614,1318075,1321617,1323459
0400000US34,34,New Jersey,8791894,8791909,8802707,8836639,8867749,8899339
0400000US35,35,New Mexico,2059179,2059183,2064982,2077919,2083540,2085287
0400000US36,36,New York,19378102,19378105,19398228,19502728,19576125,19651127
0400000US37,37,North Carolina,9535483,9535471,9559533,9651377,9748364,9848060
0400000US38,38,North Dakota,672591,672591,674344,684867,701345,723393
0400000US39,39,Ohio,11536504,11536503,11545435,11549772,11553031,11570808
0400000US40,40,Oklahoma,3751351,3751357,3759263,3785534,3815780,3850568
0400000US41,41,Oregon,3831074,3831073,3837208,3867937,3899801,3930065
0400000US42,42,Pennsylvania,12702379,12702379,12710472,12741310,12764475,12773801
0400000US44,44,Rhode Island,1052567,1052567,1052669,1050350,1050304,1051511
0400000US45,45,South Carolina,4625364,4625360,4636361,4673509,4723417,4774839
0400000US46,46,South Dakota,814180,814180,816211,823772,834047,844877
0400000US47,47,Tennessee,6346105,6346113,6356683,6398361,6454914,6495978
0400000US48,48,Texas,25145561,25145561,25245178,25640909,26060796,26448193
0400000US49,49,Utah,2763885,2763885,2774424,2814784,2854871,2900872
0400000US50,50,Vermont,625741,625745,625793,626320,625953,626630
0400000US51,51,Virginia,8001024,8001031,8024417,8105850,8186628,8260405
0400000US53,53,Washington,6724540,6724543,6742256,6821481,6895318,6971406
0400000US54,54,West Virginia,1852994,1852999,1854146,1855184,1856680,1854304
0400000US55,55,Wisconsin,5686986,5686983,5689060,5708785,5724554,5742713
0400000US56,56,Wyoming,563626,563626,564222,567329,576626,582658
0400000US72,72,Puerto Rico,3725789,3725789,3721208,3686580,3651545,3615086
